,FullAddress,long,lat
92,Prinz-Friedrich-Karl-Weg 1 14053 Berlin,13.2424857,52.520767
93,Warschauer Straße 39/40 10243 Berlin,13.4478897,52.5045788
94,Modersohnstraße 53 10245 Berlin,13.4574487,52.5027397
95,Lassenstraße 16-20 14193 Berlin,13.2769544,52.4852639
96,Neumannstr. 9/11 13189 Berlin,13.423424,52.5577145
97,Schleiermacherstraße 23 10961 Berlin,13.3975097,52.4900953
98,Peter-Weiss-Gasse 8 12627 Berlin,13.6075926,52.5384824
99,Gneisenaustraße 73-74 10961 Berlin,13.3999111,52.4909883
100,Bondickstraße 8/9 13469 Berlin,13.3152934,52.6046758
101,Weinstraße 1 10249 Berlin,13.4251784,52.5251798
102,Rudolf-Baschant-Str. 2 13086 Berlin,13.44163,52.5573
103,Olbersstraße 38 10589 Berlin,13.3020964,52.52876999999999
104,Eichenstraße 3B 12435 Berlin,13.4552701,52.4965653
105,Dolomitenstraße 94 13187 Berlin,13.4076395,52.5630067
106,Moltkestraße 24-26 12203 Berlin,13.3131158,52.4416702
107,Hasenhegerweg 12 12353 Berlin,13.4453074,52.4226226
108,Goldbeckweg 8-14 13599 Berlin,13.2300787,52.5441625
109,Pettenkoferstraße 20-24 10247 Berlin,13.4709999,52.5186561
110,Fritz-Lesch-Straße 35 13053 Berlin,13.4771732,52.5465826
111,Senftenberger Ring 49 13435 Berlin,13.3542708,52.6016352
112,Drakestraße 72-74 12205 Berlin,13.3053324,52.43491239999999
113,Sandinostraße 10 13055 Berlin,13.4843904,52.5365554
114,Donaustraße 58 12043 Berlin,13.4432461,52.4774232
115,Dreilindenstraße 49 14109 Berlin,13.1878891,52.4203408
116,Malchower Chaussee 2 13051 Berlin,13.4735789,52.5667834
117,Dunckerstraße 65 10439 Berlin,13.42271,52.5458
118,Sella-Hasse-Straße 25 12687 Berlin,13.5566742,52.5528054
119,Rudi-Arndt-Straße 18 10407 Berlin,13.4461075,52.5290916
120,Babelsberger Str. 24 10715 Berlin,13.3348043,52.4823809
121,Radickestraße 43 12489 Berlin,13.5483823,52.4350825
122,Wollankstr. 131 13187 Berlin,13.4001199,52.5686803
123,Koblenzer Straße 22-24 10715 Berlin,13.3219009,52.4807387
124,Revaler Straße 100 10245 Berlin,13.4500396,52.5083583
125,Wolliner Str.25/26 13355 Berlin,13.4012348,52.5407328
126,Kniprodestr. 29 10407 Berlin,13.4478476,52.5348773
127,teltower Damm 87-93 14167 Berlin,13.2628098,52.4259348
128,Liebenwalder Str. 22 13055 Berlin,13.5006697,52.5373768
129,Dickensweg 15 14055 Berlin,13.2381579,52.5080392
130,Königstraße 32 12105 Berlin,13.3840486,52.4472086
131,Dieffenbachstraße 60 10967 Berlin,13.4159092,52.4929359
132,Place Molière 4 13469 Berlin,13.3179287,52.59893899999999
133,Mettestraße 8 10825 Berlin,13.3388204,52.48032079999999
134,Rehagener Str. 35-37 12307 Berlin,13.4039263,52.3857173
135,Wilhelmstraße 30 F 13593 Berlin,13.1804006,52.5179646
